date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2017-09-21,217.8270721435547,Range,1,60.62720247204212,912788.7121638193,-0.6062720247204212,0.12336203528566456,9.320621153636807,34.29058560725622,-0.0003496265375525498
2017-09-22,217.87074279785156,Range,1,66.90808509231691,912762.7436821962,-0.6690808509231692,0.12622543132948968,7.6317642585699295,13.684205619053845,-2.844960863013224e-05
2017-09-25,217.4253387451172,Range,5,414.42785709569563,912996.3158747471,-0.8288557141913913,0.08928388525335083,4.284071757336146,786.2530456633597,0.00025589584387342157
2017-09-26,217.55633544921875,Trend,11,959.7751343645986,913193.9916472184,-0.8725228494223622,0.08245721056524127,2.9642686080054523,1229.8105617616307,0.00021651322029914155
2017-09-27,218.40357971191406,Trend,4,308.1346787087199,910561.8038061007,-0.7703366967717997,0.1543526741257764,3.772705724322107,1458.0265803827838,-0.0028823972400099374
2017-09-28,218.66561889648438,Trend,6,511.75639559748004,910337.9534191776,-0.8529273259958001,0.15679471657572244,1.920747107041215,453.3709352076054,-0.00024583766416241826
2017-09-29,219.43418884277344,Trend,1,9.519705746297241,908965.1614759963,-0.09519705746297241,0.17013399319556416,14.486290556879432,1141.4184537918422,-0.0015080025368877648
2017-10-02,220.38626098632812,Trend,0,-0.0,908760.6639030459,0.2362821872590275,0.18114521356119798,12.967257660103071,26.230317958051778,-0.0002249784497991847
2017-10-03,220.85792541503906,Trend,1,-41.911916799059924,908838.8700629398,0.41911916799059923,0.17754107606792377,10.656596557651627,97.8473966400976,8.605803816164048e-05
2017-10-04,221.1199951171875,Trend,1,-63.307632363099174,908760.8140294165,0.6330763236309918,0.18639657617709787,7.397716753655299,47.31020521049091,-8.588544800891551e-05
2017-10-05,222.43016052246094,Trend,20,-1903.5698288160252,909424.8767063715,0.9517849144080126,0.04363447763345824,1.375792220648178,4239.878685108383,0.0007307342776043946
